DATE,CSUSHPISA
2000-01-01,101.3393333333333367
2000-04-01,103.6743333333333333
2000-07-01,105.7860000000000033
2000-10-01,108.2746666666666667
2001-01-01,110.4836666666666700
2001-04-01,112.2033333333333367
2001-07-01,114.1560000000000000
2001-10-01,115.8723333333333300
2002-01-01,117.8916666666666667
2002-04-01,120.7159999999999933
2002-07-01,123.8329999999999967
2002-10-01,126.6753333333333300
2003-01-01,129.3216666666666667
2003-04-01,131.7560000000000000
2003-07-01,135.0126666666666600
2003-10-01,138.8353333333333267
2004-01-01,143.2990000000000067
2004-04-01,148.2090000000000000
2004-07-01,152.7166666666666600
2004-10-01,157.5366666666666733
2005-01-01,163.4813333333333267
2005-04-01,169.3476666666666667
2005-07-01,174.5793333333333233
2005-10-01,179.5396666666666600
2006-01-01,183.3233333333333233
2006-04-01,183.9983333333333267
2006-07-01,182.8193333333333333
2006-10-01,183.6503333333333333
2007-01-01,184.4220000000000067
2007-04-01,181.6226666666666667
2007-07-01,178.2630000000000100
2007-10-01,175.3703333333333333
2008-01-01,171.5769999999999933
2008-04-01,166.6716666666666733
2008-07-01,161.9553333333333267
2008-10-01,156.0286666666666733
2009-01-01,150.0576666666666667
2009-04-01,147.9103333333333267
2009-07-01,148.2360000000000000
2009-10-01,147.9703333333333267
2010-01-01,146.2950000000000000
2010-04-01,146.1680000000000000
2010-07-01,143.9703333333333333
2010-10-01,142.2513333333333267
2011-01-01,140.6206666666666600
2011-04-01,139.9233333333333400
2011-07-01,139.2330000000000000
2011-10-01,137.2596666666666667
2012-01-01,137.0120000000000067
2012-04-01,140.1140000000000000
2012-07-01,142.2830000000000000
2012-10-01,144.5623333333333333
2013-01-01,148.1926666666666667
2013-04-01,152.8560000000000000
2013-07-01,156.9369999999999933
2013-10-01,160.1026666666666667
2014-01-01,162.5213333333333267
2014-04-01,163.7046666666666667
2014-07-01,165.2333333333333333
2014-10-01,167.3440000000000000
2015-01-01,169.2016666666666600
2015-04-01,170.8846666666666667
2015-07-01,172.9743333333333267
2015-10-01,175.6986666666666667
2016-01-01,177.7153333333333333
2016-04-01,179.4456666666666667
2016-07-01,181.8543333333333200
2016-10-01,184.7223333333333333
2017-01-01,187.3793333333333233
2017-04-01,189.6916666666666733
2017-07-01,192.6766666666666667
2017-10-01,195.8859999999999900
2018-01-01,199.1460000000000067
2018-04-01,201.6403333333333200
2018-07-01,203.7299999999999933
2018-10-01,205.4243333333333367
2019-01-01,206.7319999999999933
2019-04-01,208.5156666666666633
2019-07-01,210.2323333333333333
2019-10-01,212.4500000000000133
2020-01-01,215.5416666666666733
2020-04-01,217.8033333333333333
2020-07-01,222.7056666666666667
2020-10-01,232.5436666666666667
